Date,Geothermal,Hydro,Photovoltaic,Self-consumption,Thermal,Wind,TOT Generation,Renewables weight
2021-01-01 00:00:00,0.62,3.43,0.0,2.058,14.55,2.6,21.200000000000003,0.3136792452830188
2021-01-01 01:00:00,0.62,3.03,0.0,1.952,13.68,2.75,20.08,0.3187250996015937
2021-01-01 02:00:00,0.62,2.79,0.0,1.812,12.77,2.63,18.81,0.32110579479000534
2021-01-01 03:00:00,0.62,2.6,0.0,1.735,12.12,2.62,17.96,0.32516703786191536
2021-01-01 04:00:00,0.62,2.6,0.0,1.733,12.06,2.61,17.89,0.3258803801006149
2021-01-01 05:00:00,0.62,2.69,0.0,1.758,12.24,2.47,18.02,0.3207547169811321
2021-01-01 06:00:00,0.62,2.75,0.0,1.73,12.16,2.52,18.05,0.3263157894736842
2021-01-01 07:00:00,0.62,2.86,0.08,1.742,12.21,2.42,18.19,0.3287520615722925
2021-01-01 08:00:00,0.62,3.55,0.82,1.821,11.82,2.39,19.200000000000003,0.38437499999999997
2021-01-01 09:00:00,0.61,3.61,2.02,2.118,12.17,2.32,20.73,0.41292812349252295
2021-01-01 10:00:00,0.6,3.52,2.34,2.347,13.14,2.59,22.19,0.4078413699864804
2021-01-01 11:00:00,0.6,3.71,2.75,2.66,14.68,2.85,24.59,0.40300935339568933
2021-01-01 12:00:00,0.58,4.89,3.09,2.907,15.22,3.11,26.89,0.43399033097805867
2021-01-01 13:00:00,0.58,4.17,2.55,2.637,14.16,3.42,24.880000000000003,0.43086816720257226
2021-01-01 14:00:00,0.58,3.26,1.64,2.274,13.44,3.69,22.61,0.4055727554179567
2021-01-01 15:00:00,0.58,3.49,0.68,2.173,14.26,3.51,22.519999999999996,0.3667850799289521
2021-01-01 16:00:00,0.56,4.19,0.08,2.176,15.34,3.09,23.26,0.34049871023215816
2021-01-01 17:00:00,0.57,5.29,0.0,2.275,15.9,3.04,24.8,0.3588709677419355
2021-01-01 18:00:00,0.6,5.59,0.0,2.169,15.28,3.18,24.65,0.3801217038539554
2021-01-01 19:00:00,0.61,5.42,0.0,2.188,15.46,3.55,25.040000000000003,0.3825878594249201
2021-01-01 20:00:00,0.61,4.69,0.0,2.104,14.91,3.71,23.92,0.37667224080267564
2021-01-01 21:00:00,0.61,4.36,0.0,2.074,14.88,3.86,23.71,0.3724167018135808
2021-01-01 22:00:00,0.62,3.84,0.0,2.076,14.81,3.93,23.2,0.3616379310344828
2021-01-01 23:00:00,0.62,3.3,0.0,1.863,13.35,4.12,21.39,0.37587657784011214
2021-01-02 00:00:00,0.62,2.9,0.0,1.777,12.55,4.22,20.29,0.38146870379497294
2021-01-02 01:00:00,0.62,2.75,0.0,1.637,11.45,4.34,19.16,0.4024008350730689
2021-01-02 02:00:00,0.62,2.68,0.0,1.651,11.55,4.35,19.200000000000003,0.39843749999999994
2021-01-02 03:00:00,0.61,2.66,0.0,1.659,11.63,4.38,19.28,0.3967842323651452
2021-01-02 04:00:00,0.61,2.61,0.0,1.657,11.6,4.57,19.39,0.40175348117586385
2021-01-02 05:00:00,0.61,2.67,0.0,1.721,11.99,4.71,19.98,0.3998998998998999
2021-01-02 06:00:00,0.62,2.92,0.0,1.741,11.93,4.74,20.21,0.4096981692231569
2021-01-02 07:00:00,0.62,3.38,0.03,1.719,11.75,4.88,20.66,0.43126815101645694
2021-01-02 08:00:00,0.62,4.02,0.36,1.855,12.42,4.99,22.410000000000004,0.4457831325301204
2021-01-02 09:00:00,0.62,4.13,1.4,2.083,12.59,4.84,23.580000000000002,0.4660729431721798
2021-01-02 10:00:00,0.62,4.29,2.12,2.329,12.72,5.15,24.9,0.4891566265060241
2021-01-02 11:00:00,0.62,4.16,2.22,2.495,13.36,5.45,25.81,0.48237117396358
2021-01-02 12:00:00,0.62,4.3,1.87,2.622,13.98,5.97,26.74,0.4771877337322364
2021-01-02 13:00:00,0.62,3.68,1.77,2.666,13.91,5.28,25.26,0.4493269992082344
2021-01-02 14:00:00,0.62,3.64,1.49,2.431,13.32,5.05,24.12,0.44776119402985076
2021-01-02 15:00:00,0.62,3.84,0.78,2.243,13.89,4.81,23.94,0.4197994987468672
2021-01-02 16:00:00,0.62,5.19,0.09,2.163,14.62,4.55,25.07,0.41683286796968483
2021-01-02 17:00:00,0.62,8.91,0.0,2.398,16.04,4.43,30.0,0.4653333333333333
2021-01-02 18:00:00,0.62,9.47,0.0,2.348,15.64,4.26,29.990000000000002,0.47849283094364786
2021-01-02 19:00:00,0.62,8.07,0.0,2.297,15.35,4.15,28.189999999999998,0.4554806669031572
2021-01-02 20:00:00,0.62,5.94,0.0,2.171,14.84,3.87,25.27,0.41274238227146814
2021-01-02 21:00:00,0.62,4.78,0.0,2.215,15.22,3.45,24.07,0.36767760697964275
2021-01-02 22:00:00,0.62,4.0,0.0,2.226,15.36,3.3,23.28,0.34020618556701027
2021-01-02 23:00:00,0.62,3.74,0.0,2.041,14.07,3.04,21.47,0.344666977177457
2021-01-03 00:00:00,0.62,3.11,0.0,1.858,12.74,2.96,19.43,0.34431291816778176
2021-01-03 01:00:00,0.62,3.04,0.0,1.741,12.01,3.19,18.86,0.36320254506892896
2021-01-03 02:00:00,0.62,2.78,0.0,1.615,11.12,3.26,17.78,0.374578177727784
2021-01-03 03:00:00,0.62,2.69,0.0,1.648,11.39,2.98,17.68,0.3557692307692308
2021-01-03 04:00:00,0.62,2.89,0.0,1.676,11.63,2.76,17.9,0.35027932960893854
2021-01-03 05:00:00,0.62,2.86,0.0,1.683,11.7,3.17,18.35,0.3623978201634877
2021-01-03 06:00:00,0.62,2.82,0.0,1.715,11.79,3.49,18.72,0.3701923076923077
2021-01-03 07:00:00,0.62,3.09,0.05,1.637,11.22,3.12,18.1,0.380110497237569
2021-01-03 08:00:00,0.62,3.4,0.57,1.764,11.25,3.28,19.12,0.4116108786610878
2021-01-03 09:00:00,0.62,3.54,1.6,2.255,12.27,3.62,21.650000000000002,0.43325635103926086
2021-01-03 10:00:00,0.62,3.8,2.61,2.757,12.92,3.16,23.11,0.44093466032020767
2021-01-03 11:00:00,0.62,3.89,3.65,3.219,13.76,3.06,24.98,0.44915932746196957
2021-01-03 12:00:00,0.62,3.86,3.27,3.212,14.26,4.02,26.029999999999998,0.4521705724164426
2021-01-03 13:00:00,0.62,3.46,2.43,2.791,13.57,4.21,24.29,0.44133388225607245
2021-01-03 14:00:00,0.62,3.45,1.96,2.496,12.97,3.67,22.67,0.42787825319805906
2021-01-03 15:00:00,0.62,3.66,0.9,2.28,13.9,3.65,22.73,0.3884733831940167
2021-01-03 16:00:00,0.62,4.51,0.07,2.115,14.44,4.01,23.65,0.3894291754756872
2021-01-03 17:00:00,0.62,5.06,0.0,2.319,15.95,3.49,25.119999999999997,0.365047770700637
2021-01-03 18:00:00,0.62,5.98,0.0,2.306,15.83,3.18,25.61,0.38188207731354945
2021-01-03 19:00:00,0.62,7.72,0.0,2.477,16.73,2.77,27.84,0.399066091954023
2021-01-03 20:00:00,0.62,6.78,0.0,2.403,16.61,2.85,26.86,0.381608339538347
2021-01-03 21:00:00,0.62,5.21,0.0,2.198,15.5,2.73,24.06,0.3557772236076476
2021-01-03 22:00:00,0.62,4.35,0.0,2.177,15.46,2.65,23.08,0.33015597920277295
2021-01-03 23:00:00,0.62,3.94,0.0,2.144,15.1,2.3,21.96,0.3123861566484517
2021-01-04 00:00:00,0.62,3.11,0.0,2.084,14.42,2.0,20.15,0.28436724565756827
2021-01-04 01:00:00,0.62,2.85,0.0,2.012,13.92,1.64,19.03,0.26852338413032056
2021-01-04 02:00:00,0.62,2.76,0.0,1.939,13.58,1.14,18.1,0.24972375690607732
2021-01-04 03:00:00,0.62,2.75,0.0,1.832,12.8,0.89,17.060000000000002,0.24970691676436102
2021-01-04 04:00:00,0.62,3.1,0.0,1.845,12.92,0.97,17.61,0.26632595116411134
2021-01-04 05:00:00,0.62,3.0,0.0,1.955,13.78,1.15,18.549999999999997,0.2571428571428572
2021-01-04 06:00:00,0.62,3.67,0.0,2.192,15.34,1.1,20.73,0.2600096478533527
2021-01-04 07:00:00,0.62,5.62,0.03,2.763,19.11,1.04,26.419999999999998,0.2766843300529902
