Date,Prices,Geothermal,Hydro,Photovoltaic,Self-consumption,Thermal,Wind,TOT Generation,Renewables weight,Total Load,Load forecasted
2021-01-01 00:00:00,50.87,0.62,3.43,0.0,2.058,14.55,2.6,21.200000000000003,0.3136792452830188,24640.25075,24614.24975
2021-01-01 01:00:00,48.19,0.62,3.03,0.0,1.952,13.68,2.75,20.08,0.3187250996015937,22909.0,23971.99975
2021-01-01 02:00:00,44.67966,0.62,2.79,0.0,1.812,12.77,2.63,18.81,0.3211057947900053,21044.49975,22554.7495
2021-01-01 03:00:00,42.92193,0.62,2.6,0.0,1.735,12.12,2.62,17.96,0.3251670378619153,19907.99975,21153.49975
2021-01-01 04:00:00,40.39151,0.62,2.6,0.0,1.733,12.06,2.61,17.89,0.3258803801006149,19578.4995,20336.75
2021-01-01 05:00:00,40.2,0.62,2.69,0.0,1.758,12.24,2.47,18.02,0.3207547169811321,19897.00075,20187.99925
2021-01-01 06:00:00,39.63258,0.62,2.75,0.0,1.73,12.16,2.52,18.05,0.3263157894736842,20786.0,20992.99975
2021-01-01 07:00:00,40.09467,0.62,2.86,0.08,1.742,12.21,2.42,18.19,0.3287520615722925,21286.4995,21615.75025
2021-01-01 08:00:00,41.26866,0.62,3.55,0.82,1.821,11.82,2.39,19.200000000000003,0.3843749999999999,22023.99975,21942.49975
2021-01-01 09:00:00,41.67,0.61,3.61,2.02,2.118,12.17,2.32,20.73,0.4129281234925229,24218.74975,23277.75
2021-01-01 10:00:00,45.0,0.6,3.52,2.34,2.347,13.14,2.59,22.19,0.4078413699864804,26107.4995,24655.9995
2021-01-01 11:00:00,47.2,0.6,3.71,2.75,2.66,14.68,2.85,24.59,0.4030093533956893,28651.24975,25751.24975
2021-01-01 12:00:00,48.43,0.58,4.89,3.09,2.907,15.22,3.11,26.89,0.4339903309780586,30667.25,26786.5
2021-01-01 13:00:00,45.49486,0.58,4.17,2.55,2.637,14.16,3.42,24.880000000000003,0.4308681672025722,28434.00075,26094.50025
2021-01-01 14:00:00,44.72691,0.58,3.26,1.64,2.274,13.44,3.69,22.61,0.4055727554179567,26411.25025,24782.0
