datetime,Date,Prices
2021-01-01 00:00:00,2021-01-01,50.87
2021-01-01 01:00:00,2021-01-01,48.19
2021-01-01 02:00:00,2021-01-01,44.67966
2021-01-01 03:00:00,2021-01-01,42.92193
2021-01-01 04:00:00,2021-01-01,40.39151
2021-01-01 05:00:00,2021-01-01,40.2
2021-01-01 06:00:00,2021-01-01,39.63258
2021-01-01 07:00:00,2021-01-01,40.09467
2021-01-01 08:00:00,2021-01-01,41.26866
2021-01-01 09:00:00,2021-01-01,41.67
2021-01-01 10:00:00,2021-01-01,45.0
2021-01-01 11:00:00,2021-01-01,47.2
2021-01-01 12:00:00,2021-01-01,48.43
2021-01-01 13:00:00,2021-01-01,45.49486
2021-01-01 14:00:00,2021-01-01,44.72691
2021-01-01 15:00:00,2021-01-01,46.58816
2021-01-01 16:00:00,2021-01-01,52.98875
2021-01-01 17:00:00,2021-01-01,60.26
2021-01-01 18:00:00,2021-01-01,60.61
2021-01-01 19:00:00,2021-01-01,60.36059
2021-01-01 20:00:00,2021-01-01,57.4
2021-01-01 21:00:00,2021-01-01,53.8603
2021-01-01 22:00:00,2021-01-01,53.45
2021-01-01 23:00:00,2021-01-01,49.72
2021-01-02 00:00:00,2021-01-02,46.69
2021-01-02 01:00:00,2021-01-02,42.42804
2021-01-02 02:00:00,2021-01-02,41.08794
2021-01-02 03:00:00,2021-01-02,40.0
2021-01-02 04:00:00,2021-01-02,30.75693
2021-01-02 05:00:00,2021-01-02,39.0
2021-01-02 06:00:00,2021-01-02,42.08513
2021-01-02 07:00:00,2021-01-02,46.57
2021-01-02 08:00:00,2021-01-02,51.33
2021-01-02 09:00:00,2021-01-02,54.6
2021-01-02 10:00:00,2021-01-02,53.17
2021-01-02 11:00:00,2021-01-02,52.12909
2021-01-02 12:00:00,2021-01-02,55.9514
2021-01-02 13:00:00,2021-01-02,52.0
2021-01-02 14:00:00,2021-01-02,52.0
2021-01-02 15:00:00,2021-01-02,53.89
2021-01-02 16:00:00,2021-01-02,61.37055
2021-01-02 17:00:00,2021-01-02,63.26162
2021-01-02 18:00:00,2021-01-02,64.54699
2021-01-02 19:00:00,2021-01-02,65.43179
2021-01-02 20:00:00,2021-01-02,63.52666
2021-01-02 21:00:00,2021-01-02,56.73581
2021-01-02 22:00:00,2021-01-02,52.25
2021-01-02 23:00:00,2021-01-02,48.45
2021-01-03 00:00:00,2021-01-03,46.11
2021-01-03 01:00:00,2021-01-03,43.0
2021-01-03 02:00:00,2021-01-03,39.55
2021-01-03 03:00:00,2021-01-03,37.43802
2021-01-03 04:00:00,2021-01-03,35.6363
2021-01-03 05:00:00,2021-01-03,35.5
2021-01-03 06:00:00,2021-01-03,36.14395
2021-01-03 07:00:00,2021-01-03,36.97
2021-01-03 08:00:00,2021-01-03,41.07
2021-01-03 09:00:00,2021-01-03,44.49206
2021-01-03 10:00:00,2021-01-03,49.0
2021-01-03 11:00:00,2021-01-03,50.3
2021-01-03 12:00:00,2021-01-03,52.0374
2021-01-03 13:00:00,2021-01-03,46.63685
2021-01-03 14:00:00,2021-01-03,44.0051
2021-01-03 15:00:00,2021-01-03,45.53422
2021-01-03 16:00:00,2021-01-03,49.92
2021-01-03 17:00:00,2021-01-03,58.0
2021-01-03 18:00:00,2021-01-03,61.19934
2021-01-03 19:00:00,2021-01-03,62.70108
2021-01-03 20:00:00,2021-01-03,61.72944
2021-01-03 21:00:00,2021-01-03,60.18554
2021-01-03 22:00:00,2021-01-03,55.36
2021-01-03 23:00:00,2021-01-03,53.06186
2021-01-04 00:00:00,2021-01-04,50.23
2021-01-04 01:00:00,2021-01-04,46.64
2021-01-04 02:00:00,2021-01-04,43.78994
2021-01-04 03:00:00,2021-01-04,41.65
2021-01-04 04:00:00,2021-01-04,41.62
2021-01-04 05:00:00,2021-01-04,44.5
2021-01-04 06:00:00,2021-01-04,58.88
2021-01-04 07:00:00,2021-01-04,62.0
2021-01-04 08:00:00,2021-01-04,64.84217
2021-01-04 09:00:00,2021-01-04,68.25
2021-01-04 10:00:00,2021-01-04,65.97
2021-01-04 11:00:00,2021-01-04,63.9
2021-01-04 12:00:00,2021-01-04,62.3
2021-01-04 13:00:00,2021-01-04,62.0
2021-01-04 14:00:00,2021-01-04,61.97
2021-01-04 15:00:00,2021-01-04,62.45
2021-01-04 16:00:00,2021-01-04,63.9
2021-01-04 17:00:00,2021-01-04,67.34241
2021-01-04 18:00:00,2021-01-04,71.9656
2021-01-04 19:00:00,2021-01-04,71.17973
2021-01-04 20:00:00,2021-01-04,66.39303
2021-01-04 21:00:00,2021-01-04,62.14572
2021-01-04 22:00:00,2021-01-04,59.8
2021-01-04 23:00:00,2021-01-04,54.69378
2021-01-05 00:00:00,2021-01-05,54.79
2021-01-05 01:00:00,2021-01-05,50.3
2021-01-05 02:00:00,2021-01-05,49.53
2021-01-05 03:00:00,2021-01-05,44.58
2021-01-05 04:00:00,2021-01-05,45.05205
2021-01-05 05:00:00,2021-01-05,49.53
2021-01-05 06:00:00,2021-01-05,58.15
2021-01-05 07:00:00,2021-01-05,61.6717
2021-01-05 08:00:00,2021-01-05,65.0648
2021-01-05 09:00:00,2021-01-05,66.97473
2021-01-05 10:00:00,2021-01-05,64.74636
2021-01-05 11:00:00,2021-01-05,64.45401
2021-01-05 12:00:00,2021-01-05,62.95745
2021-01-05 13:00:00,2021-01-05,62.34752
2021-01-05 14:00:00,2021-01-05,62.1626
2021-01-05 15:00:00,2021-01-05,62.98139
2021-01-05 16:00:00,2021-01-05,63.31634
2021-01-05 17:00:00,2021-01-05,68.32
2021-01-05 18:00:00,2021-01-05,67.52561
2021-01-05 19:00:00,2021-01-05,65.27282
2021-01-05 20:00:00,2021-01-05,64.34693
2021-01-05 21:00:00,2021-01-05,58.16
2021-01-05 22:00:00,2021-01-05,56.09597
2021-01-05 23:00:00,2021-01-05,54.63752
2021-01-06 00:00:00,2021-01-06,53.73056
2021-01-06 01:00:00,2021-01-06,52.6
2021-01-06 02:00:00,2021-01-06,50.6
2021-01-06 03:00:00,2021-01-06,49.0
2021-01-06 04:00:00,2021-01-06,47.2
2021-01-06 05:00:00,2021-01-06,49.29466
2021-01-06 06:00:00,2021-01-06,55.0
2021-01-06 07:00:00,2021-01-06,56.6
2021-01-06 08:00:00,2021-01-06,59.8
2021-01-06 09:00:00,2021-01-06,61.1
2021-01-06 10:00:00,2021-01-06,60.62
2021-01-06 11:00:00,2021-01-06,60.35677
2021-01-06 12:00:00,2021-01-06,58.0
2021-01-06 13:00:00,2021-01-06,56.23
2021-01-06 14:00:00,2021-01-06,58.62
2021-01-06 15:00:00,2021-01-06,61.05284
2021-01-06 16:00:00,2021-01-06,64.67616
2021-01-06 17:00:00,2021-01-06,67.21547
2021-01-06 18:00:00,2021-01-06,69.4724
2021-01-06 19:00:00,2021-01-06,68.18318
2021-01-06 20:00:00,2021-01-06,65.64688
2021-01-06 21:00:00,2021-01-06,61.00866
2021-01-06 22:00:00,2021-01-06,56.6
2021-01-06 23:00:00,2021-01-06,55.0
2021-01-07 00:00:00,2021-01-07,56.86981
2021-01-07 01:00:00,2021-01-07,54.71
2021-01-07 02:00:00,2021-01-07,53.7
2021-01-07 03:00:00,2021-01-07,51.51139
2021-01-07 04:00:00,2021-01-07,49.35
2021-01-07 05:00:00,2021-01-07,55.6315
2021-01-07 06:00:00,2021-01-07,61.6
2021-01-07 07:00:00,2021-01-07,71.09209
2021-01-07 08:00:00,2021-01-07,87.29419
2021-01-07 09:00:00,2021-01-07,89.45387
2021-01-07 10:00:00,2021-01-07,85.85198
2021-01-07 11:00:00,2021-01-07,84.76839
2021-01-07 12:00:00,2021-01-07,75.19394
2021-01-07 13:00:00,2021-01-07,74.83948
2021-01-07 14:00:00,2021-01-07,76.96402
2021-01-07 15:00:00,2021-01-07,80.01006
2021-01-07 16:00:00,2021-01-07,88.21157
2021-01-07 17:00:00,2021-01-07,94.75507
2021-01-07 18:00:00,2021-01-07,91.40631
2021-01-07 19:00:00,2021-01-07,86.19389
2021-01-07 20:00:00,2021-01-07,72.94146
2021-01-07 21:00:00,2021-01-07,65.22
2021-01-07 22:00:00,2021-01-07,61.98
2021-01-07 23:00:00,2021-01-07,57.58
2021-01-08 00:00:00,2021-01-08,57.45
2021-01-08 01:00:00,2021-01-08,56.41344
2021-01-08 02:00:00,2021-01-08,55.17079
2021-01-08 03:00:00,2021-01-08,51.76
2021-01-08 04:00:00,2021-01-08,50.85599
2021-01-08 05:00:00,2021-01-08,56.45
2021-01-08 06:00:00,2021-01-08,65.22
2021-01-08 07:00:00,2021-01-08,77.48266
2021-01-08 08:00:00,2021-01-08,95.94197
2021-01-08 09:00:00,2021-01-08,98.26535
2021-01-08 10:00:00,2021-01-08,96.79342
2021-01-08 11:00:00,2021-01-08,93.65678
2021-01-08 12:00:00,2021-01-08,84.72226
2021-01-08 13:00:00,2021-01-08,79.42289
2021-01-08 14:00:00,2021-01-08,85.48525
2021-01-08 15:00:00,2021-01-08,86.67579
2021-01-08 16:00:00,2021-01-08,87.40615
2021-01-08 17:00:00,2021-01-08,101.00838
2021-01-08 18:00:00,2021-01-08,97.08863
2021-01-08 19:00:00,2021-01-08,84.62866
2021-01-08 20:00:00,2021-01-08,72.22767
2021-01-08 21:00:00,2021-01-08,65.44826
2021-01-08 22:00:00,2021-01-08,61.65559
2021-01-08 23:00:00,2021-01-08,58.3
2021-01-09 00:00:00,2021-01-09,61.90142
2021-01-09 01:00:00,2021-01-09,58.38
2021-01-09 02:00:00,2021-01-09,55.96487
2021-01-09 03:00:00,2021-01-09,51.88
2021-01-09 04:00:00,2021-01-09,50.25
2021-01-09 05:00:00,2021-01-09,50.25
2021-01-09 06:00:00,2021-01-09,51.39
2021-01-09 07:00:00,2021-01-09,56.38
2021-01-09 08:00:00,2021-01-09,59.8
