Date,Geothermal,Hydro,Photovoltaic,Self-consumption,Thermal,Wind,TOT Generation,Renewables weight
2023-01-01 00:00:00,0.62,1.81,0.0,1.443,14.47,0.2,17.1,0.15380116959064327
2023-01-01 01:00:00,0.62,1.66,0.0,1.365,13.85,0.16,16.29,0.1497851442602824
2023-01-01 02:00:00,0.62,1.61,0.0,1.26,12.93,0.16,15.32,0.15600522193211488
2023-01-01 03:00:00,0.62,1.61,0.0,1.191,12.32,0.18,14.73,0.16361167684996605
2023-01-01 04:00:00,0.62,1.56,0.0,1.081,11.99,0.22,14.39,0.16678248783877694
2023-01-01 05:00:00,0.62,1.58,0.0,1.077,12.1,0.25,14.55,0.16838487972508592
2023-01-01 06:00:00,0.62,1.66,0.0,1.113,12.24,0.23,14.75,0.1701694915254237
2023-01-01 07:00:00,0.62,1.76,0.07,1.105,12.48,0.22,15.15,0.17623762376237623
2023-01-01 08:00:00,0.62,2.21,1.18,1.238,11.95,0.2,16.16,0.26051980198019803
2023-01-01 09:00:00,0.62,1.97,3.3,1.692,11.06,0.15,17.099999999999998,0.3532163742690059
2023-01-01 10:00:00,0.62,1.71,4.4,2.045,11.4,0.14,18.270000000000003,0.37602627257799665
2023-01-01 11:00:00,0.62,1.75,5.1,2.417,11.74,0.14,19.35,0.39328165374677
2023-01-01 12:00:00,0.62,1.6,4.79,2.328,11.98,0.18,19.17,0.3750652060511215
2023-01-01 13:00:00,0.62,1.59,4.52,2.167,12.04,0.22,18.99,0.36598209583991576
2023-01-01 14:00:00,0.62,1.61,3.39,1.797,11.83,0.25,17.7,0.33163841807909605
2023-01-01 15:00:00,0.62,1.87,1.72,1.502,13.26,0.23,17.7,0.2508474576271187
2023-01-01 16:00:00,0.62,2.09,0.21,1.395,15.56,0.28,18.76,0.17057569296375266
2023-01-01 17:00:00,0.62,3.38,0.0,1.571,17.03,0.26,21.290000000000003,0.20009394081728507
2023-01-01 18:00:00,0.62,3.69,0.0,1.652,17.5,0.27,22.08,0.2074275362318841
2023-01-01 19:00:00,0.62,4.0,0.0,1.686,17.53,0.31,22.46,0.21950133570792518
2023-01-01 20:00:00,0.62,3.27,0.0,1.681,17.57,0.35,21.810000000000002,0.19440623567171023
2023-01-01 21:00:00,0.62,2.15,0.0,1.675,17.55,0.37,20.69,0.15176413726437893
2023-01-01 22:00:00,0.62,1.86,0.0,1.588,16.29,0.45,19.22,0.15244536940686787
2023-01-01 23:00:00,0.62,1.64,0.0,1.439,14.57,0.45,17.279999999999998,0.15682870370370372
2023-01-02 00:00:00,0.62,1.44,0.0,1.168,12.81,0.47,15.340000000000002,0.16492829204693613
2023-01-02 01:00:00,0.62,1.41,0.0,1.166,12.53,0.54,15.099999999999998,0.17019867549668877
