Date,Prices,Geothermal,Hydro,Photovoltaic,Self-consumption,Thermal,Wind,TOT Generation,Renewables weight,Total Load,Load forecasted
2023-01-01 00:00:00,195.9,0.62,1.81,0.0,1.443,14.47,0.2,17.1,0.1538011695906432,21644.2495,22366.7505
2023-01-01 01:00:00,191.09,0.62,1.66,0.0,1.365,13.85,0.16,16.29,0.1497851442602824,20891.0,20775.74975
2023-01-01 02:00:00,187.95,0.62,1.61,0.0,1.26,12.93,0.16,15.32,0.1560052219321148,19762.24925,19644.249
2023-01-01 03:00:00,187.82,0.62,1.61,0.0,1.191,12.32,0.18,14.73,0.163611676849966,18765.5005,18837.2505
2023-01-01 04:00:00,187.74,0.62,1.56,0.0,1.081,11.99,0.22,14.39,0.1667824878387769,18073.75,18715.25
2023-01-01 05:00:00,187.74,0.62,1.58,0.0,1.077,12.1,0.25,14.55,0.1683848797250859,18099.24925,18872.00075
2023-01-01 06:00:00,187.22,0.62,1.66,0.0,1.113,12.24,0.23,14.75,0.1701694915254237,18808.75025,19459.49925
2023-01-01 07:00:00,187.82,0.62,1.76,0.07,1.105,12.48,0.22,15.15,0.1762376237623762,19137.25,20194.24975
2023-01-01 08:00:00,186.47,0.62,2.21,1.18,1.238,11.95,0.2,16.16,0.260519801980198,19804.25,20883.24975
2023-01-01 09:00:00,186.47,0.62,1.97,3.3,1.692,11.06,0.15,17.099999999999998,0.3532163742690059,21703.75025,22658.99975
2023-01-01 10:00:00,177.25,0.62,1.71,4.4,2.045,11.4,0.14,18.270000000000003,0.3760262725779966,23014.99975,23843.251
2023-01-01 11:00:00,168.5,0.62,1.75,5.1,2.417,11.74,0.14,19.35,0.39328165374677,24578.75075,25085.75
2023-01-01 12:00:00,173.0,0.62,1.6,4.79,2.328,11.98,0.18,19.17,0.3750652060511215,24801.75,24998.75025
2023-01-01 13:00:00,165.89,0.62,1.59,4.52,2.167,12.04,0.22,18.99,0.3659820958399157,23969.74975,24201.50025
2023-01-01 14:00:00,179.73,0.62,1.61,3.39,1.797,11.83,0.25,17.7,0.331638418079096,22844.00025,23214.75075
2023-01-01 15:00:00,188.06,0.62,1.87,1.72,1.502,13.26,0.23,17.7,0.2508474576271187,22728.25075,23193.75
2023-01-01 16:00:00,193.67,0.62,2.09,0.21,1.395,15.56,0.28,18.76,0.1705756929637526,23449.74925,23913.75025
2023-01-01 17:00:00,213.36,0.62,3.38,0.0,1.571,17.03,0.26,21.290000000000003,0.200093940817285,26100.25025,26513.74975
2023-01-01 18:00:00,229.99,0.62,3.69,0.0,1.652,17.5,0.27,22.08,0.2074275362318841,27155.4995,27890.75025
2023-01-01 19:00:00,243.42,0.62,4.0,0.0,1.686,17.53,0.31,22.46,0.2195013357079251,27784.9995,28574.50075
2023-01-01 20:00:00,235.0,0.62,3.27,0.0,1.681,17.57,0.35,21.81,0.1944062356717102,27286.75,28192.99975
2023-01-01 21:00:00,203.25,0.62,2.15,0.0,1.675,17.55,0.37,20.69,0.1517641372643789,26036.2505,27091.00075
2023-01-01 22:00:00,190.85,0.62,1.86,0.0,1.588,16.29,0.45,19.22,0.1524453694068678,24207.2495,25395.25075
2023-01-01 23:00:00,187.28,0.62,1.64,0.0,1.439,14.57,0.45,17.279999999999998,0.1568287037037037,21985.25,23018.5
2023-01-02 00:00:00,187.27,0.62,1.44,0.0,1.168,12.81,0.47,15.340000000000002,0.1649282920469361,19831.99975,21004.50025
2023-01-02 01:00:00,187.2,0.62,1.41,0.0,1.166,12.53,0.54,15.099999999999998,0.1701986754966887,18595.50025,19857.75
2023-01-02 02:00:00,180.0,0.62,1.31,0.0,1.107,12.77,0.64,15.34,0.1675358539765319,17883.00025,18957.50075
2023-01-02 03:00:00,180.0,0.62,1.29,0.0,1.086,12.81,0.63,15.35,0.165472312703583,17647.24975,18580.25
2023-01-02 04:00:00,185.89,0.62,1.41,0.0,1.137,12.63,0.6,15.26,0.1723460026212319,18033.75025,18679.5
2023-01-02 05:00:00,185.89,0.62,1.48,0.0,1.214,13.37,0.59,16.06,0.1674968866749688,19587.75025,19849.25075
2023-01-02 06:00:00,198.85,0.62,1.66,0.0,1.55,15.81,0.64,18.73,0.1558996262680192,23383.00025,23286.25
2023-01-02 07:00:00,202.72,0.62,2.18,0.07,1.945,18.38,0.75,22.0,0.1645454545454545,27319.0005,27120.99975
2023-01-02 08:00:00,213.36,0.62,3.03,0.8,2.276,19.65,0.88,24.98,0.2133706965572458,30827.49975,30926.999
2023-01-02 09:00:00,203.99,0.61,2.93,2.2,2.71,20.23,0.91,26.88,0.2473958333333333,33384.25075,34298.24975
2023-01-02 10:00:00,196.23,0.61,2.58,2.97,2.884,19.04,0.93,26.13,0.2713356295445848,33732.5,35365.25025
2023-01-02 11:00:00,193.84618,0.61,2.33,3.46,3.037,18.28,1.07,25.75,0.2900970873786408,33881.25025,35665.5
2023-01-02 12:00:00,192.12991,0.61,2.21,3.49,3.073,17.99,1.09,25.39,0.2914533280819221,33285.75025,34526.0
2023-01-02 13:00:00,192.02775,0.61,2.15,3.39,3.01,18.19,1.08,25.42,0.2844217151848938,32829.74925,34217.999500000005
2023-01-02 14:00:00,195.74,0.61,2.12,2.85,2.923,19.22,1.05,25.85,0.2564796905222437,33145.74975,34654.0005
2023-01-02 15:00:00,199.09,0.61,2.32,1.44,2.644,20.57,0.92,25.86,0.2045630317092033,32913.999500000005,35141.74975
2023-01-02 16:00:00,206.21,0.6,3.03,0.21,2.592,21.72,0.84,26.4,0.1772727272727272,33584.50025,36365.25
2023-01-02 17:00:00,262.0,0.61,4.09,0.0,2.596,22.86,0.84,28.4,0.1950704225352112,35308.000499999995,37322.249500000005
2023-01-02 18:00:00,247.0,0.62,4.07,0.0,2.544,22.8,0.74,28.23,0.1923485653560042,35219.25,36973.25
2023-01-02 19:00:00,250.0,0.62,3.98,0.0,2.609,23.09,0.69,28.38,0.186398872445384,35246.0,36514.24975
2023-01-02 20:00:00,210.95,0.62,3.11,0.0,2.548,21.96,0.61,26.3,0.1650190114068441,33500.75025,34637.249500000005
2023-01-02 21:00:00,199.09,0.62,2.38,0.0,2.24,20.14,0.71,23.85,0.1555555555555555,30763.25025,31985.99975
2023-01-02 22:00:00,194.47,0.62,1.74,0.0,2.08,18.19,0.77,21.32,0.1468105065666041,27869.7495,29044.25025
2023-01-02 23:00:00,185.0,0.62,1.47,0.0,1.775,16.0,0.81,18.9,0.1534391534391534,24889.24975,26030.5
2023-01-03 00:00:00,170.77,0.62,1.24,0.0,1.457,13.93,0.87,16.66,0.1638655462184874,22317.5005,23625.75025
2023-01-03 01:00:00,148.89,0.62,1.21,0.0,1.265,13.13,0.8,15.760000000000002,0.1668781725888324,20640.75,22010.24975
2023-01-03 02:00:00,120.0,0.62,1.27,0.0,1.263,12.49,0.73,15.11,0.1733951025810721,19880.74925,21050.2495
2023-01-03 03:00:00,115.0,0.62,1.22,0.0,1.274,12.28,0.68,14.8,0.1702702702702702,19620.24975,20652.5005
2023-01-03 04:00:00,113.63385,0.62,1.26,0.0,1.306,12.52,0.6,14.999999999999998,0.1653333333333333,19936.75,20820.24925
2023-01-03 05:00:00,148.89,0.62,1.39,0.0,1.382,13.68,0.53,16.22,0.156596794081381,21358.0,22188.49925
2023-01-03 06:00:00,191.58,0.61,1.69,0.0,1.878,16.19,0.5,18.99,0.1474460242232753,25397.7505,25592.49975
2023-01-03 07:00:00,191.63,0.6,2.31,0.03,2.241,18.36,0.57,21.87,0.1604938271604938,29473.2495,29345.25
2023-01-03 08:00:00,199.74,0.61,4.29,0.68,2.514,18.4,0.5,24.48,0.2483660130718954,33176.249,32943.7505
2023-01-03 09:00:00,198.49,0.61,4.18,1.92,2.861,18.83,0.38,25.92,0.2735339506172839,35461.75,35483.50025
2023-01-03 10:00:00,191.58,0.61,2.76,2.73,2.994,19.06,0.31,25.469999999999995,0.2516686297605026,35684.500499999995,36042.5005
2023-01-03 11:00:00,180.2,0.62,2.47,2.88,3.018,17.78,0.37,24.12,0.2628524046434494,35127.499500000005,35982.25
2023-01-03 12:00:00,175.0,0.62,2.11,2.82,2.992,17.57,0.45,23.57,0.2545608824777259,34302.000499999995,36139.0
2023-01-03 13:00:00,174.76,0.62,2.01,2.79,2.949,17.32,0.48,23.22,0.2540913006029285,33911.50025,35556.75
